Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0101,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,21,C,3.0
19B81A0101,R1932012,WATER RESOURCES ENGINEERING-II,17,C,3.0
19B81A0101,R1932013,GEOTECHNICAL ENGINEERING-I,19,C,3.0
19B81A0101,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,24,C,3.0
19B81A0101,R1932015,CAD LAB,17,O,1.5
19B81A0101,R1932016,ENVIRONMENTAL ENGINEERING LAB,18,O,1.5
19B81A0101,R1932017,SOCIALLY RELEVANT PROJECT,18,O,1.0
19B81A0101,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0101,R193201A,PRE-STRESSED CONCRETE,21,A,3.0
19B81A0101,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,21,D,3.0
19B81A0102,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,1,F,0.0
19B81A0102,R1932012,WATER RESOURCES ENGINEERING-II,11,F,0.0
19B81A0102,R1932013,GEOTECHNICAL ENGINEERING-I,13,D,3.0
19B81A0102,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,18,F,0.0
19B81A0102,R1932015,CAD LAB,14,A,1.5
19B81A0102,R1932016,ENVIRONMENTAL ENGINEERING LAB,15,A,1.5
19B81A0102,R1932017,SOCIALLY RELEVANT PROJECT,16,S,1.0
19B81A0102,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0102,R193201A,PRE-STRESSED CONCRETE,13,C,3.0
19B81A0102,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,13,F,0.0
19B81A0103,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,24,A,3.0
19B81A0103,R1932012,WATER RESOURCES ENGINEERING-II,21,A,3.0
19B81A0103,R1932013,GEOTECHNICAL ENGINEERING-I,22,B,3.0
19B81A0103,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,A,3.0
19B81A0103,R1932015,CAD LAB,19,O,1.5
19B81A0103,R1932016,ENVIRONMENTAL ENGINEERING LAB,20,O,1.5
19B81A0103,R1932017,SOCIALLY RELEVANT PROJECT,19,O,1.0
19B81A0103,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0103,R193201A,PRE-STRESSED CONCRETE,23,S,3.0
19B81A0103,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,21,C,3.0
19B81A0104,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,3,F,0.0
19B81A0104,R1932012,WATER RESOURCES ENGINEERING-II,6,F,0.0
19B81A0104,R1932013,GEOTECHNICAL ENGINEERING-I,5,ABSENT,0.0
19B81A0104,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,9,ABSENT,0.0
19B81A0104,R1932015,CAD LAB,0,ABSENT,0.0
19B81A0104,R1932016,ENVIRONMENTAL ENGINEERING LAB,0,ABSENT,0.0
19B81A0104,R1932017,SOCIALLY RELEVANT PROJECT,0,ABSENT,0.0
19B81A0104,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0104,R193201A,PRE-STRESSED CONCRETE,4,ABSENT,0.0
19B81A0104,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,7,ABSENT,0.0
19B81A0105,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,19,D,3.0
19B81A0105,R1932012,WATER RESOURCES ENGINEERING-II,15,D,3.0
19B81A0105,R1932013,GEOTECHNICAL ENGINEERING-I,17,F,0.0
19B81A0105,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,19,D,3.0
19B81A0105,R1932015,CAD LAB,17,A,1.5
19B81A0105,R1932016,ENVIRONMENTAL ENGINEERING LAB,16,A,1.5
19B81A0105,R1932017,SOCIALLY RELEVANT PROJECT,15,A,1.0
19B81A0105,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0105,R193201A,PRE-STRESSED CONCRETE,18,C,3.0
19B81A0105,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,16,D,3.0
19B81A0106,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,13,F,0.0
19B81A0106,R1932012,WATER RESOURCES ENGINEERING-II,14,F,0.0
19B81A0106,R1932013,GEOTECHNICAL ENGINEERING-I,18,F,0.0
19B81A0106,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,20,F,0.0
19B81A0106,R1932015,CAD LAB,16,S,1.5
19B81A0106,R1932016,ENVIRONMENTAL ENGINEERING LAB,14,A,1.5
19B81A0106,R1932017,SOCIALLY RELEVANT PROJECT,17,S,1.0
19B81A0106,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0106,R193201A,PRE-STRESSED CONCRETE,14,F,0.0
19B81A0106,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,13,F,0.0
19B81A0107,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,22,C,3.0
19B81A0107,R1932012,WATER RESOURCES ENGINEERING-II,18,C,3.0
19B81A0107,R1932013,GEOTECHNICAL ENGINEERING-I,16,C,3.0
19B81A0107,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,24,B,3.0
19B81A0107,R1932015,CAD LAB,19,O,1.5
19B81A0107,R1932016,ENVIRONMENTAL ENGINEERING LAB,18,O,1.5
19B81A0107,R1932017,SOCIALLY RELEVANT PROJECT,17,O,1.0
19B81A0107,R1932018,EMPLOYABILITY SKILLS,0,COMPLE,0.0
19B81A0107,R193201A,PRE-STRESSED CONCRETE,18,B,3.0
19B81A0107,R193201G,ENVIRONMENTAL POLLUTION & CONTROL,19,C,3.0
19B81A0108,R1932011,DESIGN & DRAWING OF REINFORCED CONCRETE,22,A,3.0
19B81A0108,R1932012,WATER RESOURCES ENGINEERING-II,17,A,3.0
19B81A0108,R1932013,GEOTECHNICAL ENGINEERING-I,20,B,3.0
19B81A0108,R1932014,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,25,C,3.0
19B81A0108,R1932015,CAD LAB,19,O,1.5
